htid,author,date,title
nyp.33433076024060,"Osborne, Duffield,",1900,The secret of the crater
inu.30000042750632,"Ling, M. A. Moore Bentley",1901,A woman of Mars
njp.32101021206436,"Wells, H. G.",1901,The first men in the moon
nyp.33433074954656,"Owen, Harle Oren.",1902,Welsh rarebit tales
mdp.39015059642994,"Stevenson, Robert Louis,",1903,Strange case of Dr. Jekyl
nyp.33433074850870,"Harris-Burland, J. B.",1904,The Princess Thora
uc1.32106001959946,"Wells, H. G.",1904,The food of the gods and 
nyp.33433074850961,"Harper, Vincent.",1905,The mortgage on the brain
njp.32101013621246,"Hudson, W. H.",1906,A crystal age
dul1.ark+=13960=t1qf9cr59,"Ford, Douglas Morey.",1906,A time of terror
uc2.ark+=13960=t10p0xs0f,"Harding, Ellison.",1908,The woman who vowed
nyp.33433075746895,"Serviss, Garrett Putman,",1911,A Columbus of space
coo.31924051019580,"Doyle, Arthur Conan,",1912,The lost world
mdp.39015031332862,"Beresford, J. D.",1913,Goslings
mdp.39015001553547,"London, Jack,",1915,The scarlet plague
uc2.ark+=13960=t2794143s,"Burroughs, Edgar Rice,",1917,A princess of Mars
nyp.33433075746812,"Shanks, Edward,",1920,The people of the ruins
LindsayVoyageToArcturus1920,"Lindsay, David,",1920,Voyage To Arcturus
4528,"Burroughs, Edgar Rice,",1921,The mucker
4655,"Burroughs, Edgar Rice,",1922,The chessmen of Mars
dul1.ark+=13960=t16m3xm4f,"Hamilton, Cicely,",1922,Theodore savage
11018,"Wells, H. G.",1923,Men like gods
10008,"Burroughs, Edgar Rice,",1923,Pellucidar
10235,"Burroughs, Edgar Rice,",1925,The moon men
11226,"Cox, Erle,",1928,Out of the silence
11242,"Wright, S. Fowler,",1928,The island of Captain Spa
10053,"Burroughs, Edgar Rice,",1928,The master mind of Mars
10301,"Burroughs, Edgar Rice,",1929,Tanar of Pellucidar
10302,"Burroughs, Edgar Rice,",1929,The monster men
10310,"Kline, Otis Adelbert,",1929,The planet of peril
11274,"Shiel, M. P.",1929,The purple cloud
11305,"Stapledon, Olaf,",1930,Last and first men
10336,"Kline, Otis Adelbert,",1930,Maza of the moon
10083,"Burroughs, Edgar Rice,",1930,Tarzan at the earth's cor
10337,"Kline, Otis Adelbert,",1930,The prince of peril
10361,"Schuyler, George S.",1931,Black no more
10090,"Cummings, Ray,",1931,Brigands of the moon
10096,"Merritt, Abraham,",1931,Face in the abyss
10355,"Leinster, Murray,",1931,Murder madness
10357,"Merritt, Abraham,",1931,The face in the abyss
10362,"Smith, Thorne,",1931,The night life of the god
11043,"Huxley, Aldous,",1932,Brave new world
11385,"Stapledon, Olaf,",1932,Last men in London
10476,"Lewis, Sinclair,",1935,It can't happen here
