Year,Author,Novel,Publisher or publication,Ref.
1966,Frank Herbert*,Dune,Chilton Company,[5]
1966,Clifford D. Simak,All Flesh is Grass,Doubleday,[5]
1966,Theodore L. Thomas,The Clone,Berkley Books,[5]
1966,Kate Wilhelm,The Clone,Berkley Books,[5]
1966,Philip K. Dick,"Dr. Bloodmoney, or How We Got Along After the Bomb",Ace Books,[5]
1966,James White,The Escape Orbit,Ace Books,[5]
1966,Thomas M. Disch,The Genocides,Berkley Books,[5]
1966,William S. Burroughs,Nova Express,Grove Press,[5]
1966,Keith Laumer,A Plague of Demons,Berkley Books,[5]
1966,Avram Davidson,Rogue Dragon,Ace Books,[5]
1966,G. C. Edmondson,The Ship That Sailed the Time Stream,Ace Books,[5]
1966,Poul Anderson,The Star Fox,Doubleday,[5]
1966,Philip K. Dick,The Three Stigmata of Palmer Eldritch,Doubleday,[5]
1967,Samuel R. Delany*,Babel-17,Ace Books,[6]
1967,Daniel Keyes*,Flowers for Algernon,Harcourt,[6]
1967,Robert A. Heinlein,The Moon Is a Harsh Mistress,Putnam Publishing Group,[6]
1968,Samuel R. Delany*,The Einstein Intersection,Ace Books,[7]
1968,Piers Anthony,Chthon,Ballantine Books,[7]
1968,Hayden Howard,The Eskimo Invasion,Ballantine Books,[7]
1968,Roger Zelazny,Lord of Light,Doubleday,[7]
1968,Robert Silverberg,Thorns,Ballantine Books,[7]
1969,Alexei Panshin*,Rite of Passage,Ace Books,[8]
1969,James Blish,Black Easter,Doubleday,[8]
1969,Philip K. Dick,Do Androids Dream of Electric Sheep?,Doubleday,[8]
1969,Robert Silverberg,The Masks of Time,Ballantine Books,[8]
1969,R. A. Lafferty,Past Master,Ace Books,[8]
1969,Joanna Russ,Picnic on Paradise,Ace Books,[8]
1969,John Brunner,Stand on Zanzibar,Doubleday,[8]
1970,Ursula K. Le Guin*,The Left Hand of Darkness,Ace Books,[9]
1970,Norman Spinrad,Bug Jack Barron,Avon,[9]
1970,Roger Zelazny,Isle of the Dead,Ace Books,[9]
1970,John Brunner,The Jagged Orbit,Ace Books,[9]
1970,Kurt Vonnegut,Slaughterhouse-Five,Delacorte Press,[9]
1970,Robert Silverberg,Up the Line,Ballantine Books,[9]
1971,Larry Niven*,Ringworld,Ballantine Books,[10]
1971,Joanna Russ,And Chaos Died,Ace Books,[10]
1971,R. A. Lafferty,Fourth Mansions,Ace Books,[10]
1971,David G. Compton,The Steel Crocodile,Ace Books,[10]
1971,Robert Silverberg,Tower of Glass,Charles Scribner's Sons,[10]
1971,Wilson Tucker,The Year of the Quiet Sun,Ace Books,[10]
1972,Robert Silverberg*,A Time of Changes,Galaxy Science Fiction,[11]
1972,Poul Anderson,The Byworlder,Fantastic,[11]
1972,R. A. Lafferty,The Devil is Dead,Avon Publications,[11]
1972,T. J. Bass,Half Past Human,Ballantine Books,[11]
1972,Ursula K. Le Guin,The Lathe of Heaven,Amazing Stories,[11]
1972,Kate Wilhelm,Margaret and I,"Little, Brown and Company",[11]
1973,Isaac Asimov*,The Gods Themselves,Galaxy Science Fiction,[12]
1973,Robert Silverberg,The Book of Skulls,Charles Scribner's Sons,[12]
1973,Robert Silverberg,Dying Inside,Galaxy Science Fiction,[12]
1973,Norman Spinrad,The Iron Dream,Avon,[12]
1973,John Brunner,The Sheep Look Up,Harper & Row,[12]
1973,George Alec Effinger,What Entropy Means to Me,Doubleday,[12]
1973,David Gerrold,When HARLIE Was One,Ballantine Books,[12]
1974,Arthur C. Clarke*,Rendezvous with Rama,Galaxy Science Fiction,[13]
1974,Thomas Pynchon,Gravity's Rainbow,Viking Press,[13]
1974,David Gerrold,The Man Who Folded Himself,Random House,[13]
1974,Poul Anderson,The People of the Wind,Analog Science Fact & Fiction,[13]
1974,Robert A. Heinlein,Time Enough for Love,Putnam Publishing Group,[13]
1975,Ursula K. Le Guin*,The Dispossessed,Harper & Row,[14]
1975,Thomas M. Disch,334,Avon,[14]
1975,Philip K. Dick,"Flow My Tears, the Policeman Said",Doubleday,[14]
1975,T. J. Bass,The Godwhale,Ballantine Books,[14]
1976,Joe Haldeman*,The Forever War,St. Martin's Press,[15]
1976,Arthur Byron Cover,Autumn Angels,Pyramid Books,[15]
1976,Tanith Lee,The Birthgrave,DAW Books,[15]
1976,Alfred Bester,The Computer Connection,Analog Science Fact & Fiction,[15]
1976,Samuel R. Delany,Dhalgren,Bantam Books,[15]
