wrong,correct,is_geo
"Atlantic Monthly Group, 600 New Hampshire Ave NW # 4, Washington, DC 20037, USA",Atlantic Ocean,TRUE
"Broadway, 342 Massachusetts Ave, Indianapolis, IN 46204, USA","Broadway, New York, NY, USA",TRUE
"Third Ave, Bay Shore, NY 11706, USA","Third Ave, New York, NY 10035, USA",TRUE
"Pacific Co, 2701 S 13th Ave, Broadview, IL 60155, USA",Pacific Ocean,TRUE
"The Cold War Museum, 7172 Lineweaver Rd, Warrenton, VA 20187, USA",Russia,TRUE
"Council For American Private Education, 13017 Wisteria Dr # 457, Germantown, MD 20874, USA","Cape Town, South Africa",TRUE
"Babylon, 1320 Highland Ave, Hollywood, CA 90028, USA","Hillah, Babil Governorate, Iraq",TRUE
"Yorkshire County Fish Shop, Bay Lake, FL, USA","Yorkshire, UK",TRUE
"Constantinople, 428 Rue Rachel E, Montréal, QC H2J 2G8, Canada","Istanbul, Turkey",TRUE
"Waterloo, IA, USA","Waterloo, Belgium",TRUE
"Windsor Sales, 19694 Morton Oaks Rd, Audubon, MN 56511, USA","Windsor, UK",TRUE
"King of Prussia, 160 N Gulph Rd, King of Prussia, PA 19406, USA","Königsberg, Germany",TRUE
"New York Times Corporation Library, 620 8th Ave, New York, NY 10018, USA","New York, NY, USA",TRUE
"Jericho High School, 99 Cedar Swamp Rd, Jericho, NY 11753, USA","Jericho Municipality, Palestine Square Jericho, Palestine, Jericho",TRUE
"Sahara Restaurant, 165 Easton Ave, New Brunswick, NJ 08901, USA",Sahara Desert,TRUE
"Devon Energy Corporation, 4501 Technology Dr, Weatherford, OK 73096, USA","Devon, UK",TRUE
"American Czechoslovakian Club, 922 Valley St, Dayton, OH 45404, USA",Czech Republic,TRUE
"Greenwich, CT, USA","Greenwich, London, UK",TRUE
"Dorchester, Boston, MA, USA","Dorchester, Dorset, UK",TRUE
"Kashmir Restaurant, 279 Newbury St, Boston, MA 02116, USA","Jammu and Kashmir, India",TRUE
"Malaya, 857 Collier Rd NW #10, Atlanta, GA 30318, USA",Malaysia,TRUE
"Pearl Harbor Survors Association, 4105 Naomi Dr, Louisville, KY 40219, USA","Oahu, Hawaii",TRUE
"Middlesex Community College, 33 Kearney Square, Lowell, MA 01852, USA","London, UK",TRUE
"University of Notre Dame, Notre Dame, IN 46556, USA","6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",TRUE
"Carthage, MO 64836, USA","Tunis Governorate, Tunisia",TRUE
"Kensington Church, 1825 E Square Lake Rd, Troy, MI 48085, USA","Kensington, UK",TRUE
"United States Holocaust Memorial Museum, 100 Raoul Wallenberg Pl SW, Washington, DC 20024, USA",Serbia,TRUE
"Temple Judea, 5429 Lindley Ave, Tarzana, CA 91356, USA",Israel,TRUE
"Rio All-Suites Hotel and Casino, 3700 W Flamingo Rd, Las Vegas, NV 89103, USA","Rio de Janeiro, Brasil",TRUE
"W End, Kaikoura 7300, New Zealand","West End, London, UK",TRUE
"Kent, WA, USA","Kent, UK",TRUE
"Rio Grande, 7500 Bluewater Rd NW, Albuquerque, NM 87121, USA","Rio Grande, Rio Grande do Sul, Brazil",TRUE
"Paddington Station Preschool, 1301 Quebec St, Denver, CO 80220, USA","Paddington, London, UK",TRUE
"Made in USSR, 102 Wall Street, Norwalk, CT 06850, USA",Russia,TRUE
"Grand Canal, 57 Canal St, Boston, MA 02114, USA","Grand Canal, Venice, Italy",TRUE
"Westminster, CO, USA","Westminster, London, UK",TRUE
"Manchuria Garden, 6180 McDonough Dr NW, Norcross, GA 30093, USA",China,TRUE
