Year,Author(s),Novel,Publisher or publication,Ref.
1953,Alfred Bester*,The Demolished Man,Galaxy Science Fiction,[9]
1955,Mark Clifton*,They'd Rather Be Right (also known as The Forever Machine),Astounding Science-Fiction,[10]
1955,Frank Riley*,They'd Rather Be Right (also known as The Forever Machine),Astounding Science-Fiction,[10]
1956,Robert A. Heinlein*,Double Star,Astounding Science-Fiction,[11]
1956,Eric Frank Russell,Call Him Dead (also known as Three to Conquer),Astounding Science-Fiction,[11]
1956,Isaac Asimov,The End of Eternity,Doubleday,[11]
1956,Cyril M. Kornbluth,Not This August,Doubleday,[11]
1956,Leigh Brackett,The Long Tomorrow,Doubleday,[11]
1958,Fritz Leiber*,The Big Time,Galaxy Science Fiction,[12]
1959,James Blish*,A Case of Conscience,Ballantine Books,[13]
1959,Poul Anderson,We Have Fed Our Sea (also known as The Enemy Stars),Astounding Science-Fiction,[13]
1959,Algis Budrys,Who?,Pyramid Books,[13]
1959,Robert A. Heinlein,Have Space Suit — Will Travel,The Magazine of Fantasy & Science Fiction,[13]
1959,Robert Sheckley,"Time Killer (also known as Immortality, Inc.)",Galaxy Science Fiction,[13]
1960,Robert A. Heinlein*,Starship Troopers,The Magazine of Fantasy & Science Fiction,[14]
1960,Gordon R. Dickson,Dorsai! (also known as The Genetic General),Astounding Science-Fiction,[14]
1960,Murray Leinster,The Pirates of Ersatz (also known as The Pirates of Zan),Astounding Science-Fiction,[14]
1960,Mark Phillips,That Sweet Little Old Lady (also known as Brain Twister),Astounding Science-Fiction,[14]
1960,Kurt Vonnegut,The Sirens of Titan,Dell Publishing,[14]
1961,"Walter M. Miller, Jr.*",A Canticle for Leibowitz,J. B. Lippincott & Co.,[15]
1961,Poul Anderson,The High Crusade,Astounding Science-Fiction,[15]
1961,Algis Budrys,Rogue Moon,The Magazine of Fantasy & Science Fiction,[15]
1961,Harry Harrison,Deathworld,Astounding Science-Fiction,[15]
1961,Theodore Sturgeon,Venus Plus X,Pyramid Books,[15]
1962,Robert A. Heinlein*,Stranger in a Strange Land,Putnam Publishing Group,[16]
1962,Daniel F. Galouye,Dark Universe,Bantam Books,[16]
1962,Harry Harrison,Planet of the Damned (also known as Sense of Obligation),Analog Science Fact & Fiction,[16]
1962,Clifford D. Simak,The Fisherman (also known as Time is the Simplest Thing),Analog Science Fact & Fiction,[16]
1962,James White,Second Ending,Fantastic,[16]
1963,Philip K. Dick*,The Man in the High Castle,Putnam Publishing Group,[17]
1963,Marion Zimmer Bradley,The Sword of Aldones,Ace Books,[17]
1963,Arthur C. Clarke,A Fall of Moondust,Harcourt Trade Publishers,[17]
1963,H. Beam Piper,Little Fuzzy,Avon Publications,[17]
1963,Jean Bruller,Sylva,Putnam Publishing Group,[17]
1964,Clifford D. Simak*,Here Gather the Stars (also known as Way Station),Galaxy Science Fiction,[18]
1964,Robert A. Heinlein,Glory Road,The Magazine of Fantasy & Science Fiction,[18]
1964,Andre Norton,Witch World,Ace Books,[18]
1964,Frank Herbert,Dune World[a],Analog Science Fact & Fiction,[18]
1964,Kurt Vonnegut,Cat's Cradle,"Holt, Rinehart and Winston",[18]
1965,Fritz Leiber*,The Wanderer,Ballantine Books,[20]
1965,John Brunner,The Whole Man,Ballantine Books,[20]
1965,Edgar Pangborn,Davy,Ballantine Books,[20]
1965,Cordwainer Smith,The Planet Buyer (also known as The Boy Who Bought Old Earth),Pyramid Books,[20]
1966,Frank Herbert*,Dune,Chilton Company,[21]
1966,Roger Zelazny*,...And Call Me Conrad (also known as This Immortal),The Magazine of Fantasy & Science Fiction,[21]
1966,John Brunner,The Squares of the City,Ballantine Books,[21]
1966,Robert A. Heinlein,The Moon Is a Harsh Mistress[b],If,[21]
1966,Edward E. Smith,Skylark DuQuesne,If,[21]
1967,Robert A. Heinlein*,The Moon Is a Harsh Mistress[b],If,[22]
1967,Samuel R. Delany,Babel-17,Ace Books,[22]
1967,Randall Garrett,Too Many Magicians,Analog Science Fact & Fiction,[22]
1967,Daniel Keyes,Flowers for Algernon,Harcourt Trade Publishers,[22]
1967,James H. Schmitz,The Witches of Karres,Chilton Company,[22]
1967,Thomas Burnett Swann,Day of the Minotaur,Ace Books,[22]
1968,Roger Zelazny*,Lord of Light,Doubleday,[23]
1968,Samuel R. Delany,The Einstein Intersection,Ace Books,[23]
1968,Piers Anthony,Chthon,Ballantine Books,[23]
1968,Chester Anderson,The Butterfly Kid,Pyramid Books,[23]
1968,Robert Silverberg,Thorns,Ballantine Books,[23]
1969,John Brunner*,Stand on Zanzibar,Doubleday,[24]
1969,Alexei Panshin,Rite of Passage,Ace Books,[24]
1969,Samuel R. Delany,Nova,Doubleday,[24]
1969,R. A. Lafferty,Past Master,Ace Books,[24]
1969,Clifford D. Simak,The Goblin Reservation,Galaxy Science Fiction,[24]
1970,Ursula K. Le Guin*,The Left Hand of Darkness,Ace Books,[25]
1970,Robert Silverberg,Up the Line,Ballantine Books,[25]
1970,Piers Anthony,Macroscope,Avon Publications,[25]
1970,Kurt Vonnegut,Slaughterhouse-Five,Delacorte Press,[25]
1970,Norman Spinrad,Bug Jack Barron,Avon Publications,[25]
1971,Larry Niven*,Ringworld,Ballantine Books,[26]
1971,Poul Anderson,Tau Zero,Doubleday,[26]
1971,Robert Silverberg,Tower of Glass,Charles Scribner's Sons,[26]
1971,Wilson Tucker,The Year of the Quiet Sun,Ace Books,[26]
1971,Hal Clement,Star Light,Analog Science Fact & Fiction,[26]
1972,Philip José Farmer*,To Your Scattered Bodies Go,Putnam Publishing Group,[27]
1972,Ursula K. Le Guin,The Lathe of Heaven,Amazing Stories,[27]
1972,Anne McCaffrey,Dragonquest,Ballantine Books,[27]
1972,Roger Zelazny,Jack of Shadows,The Magazine of Fantasy & Science Fiction,[27]
1972,Robert Silverberg,A Time of Changes,Galaxy Science Fiction,[27]
1973,Isaac Asimov*,The Gods Themselves,Galaxy Science Fiction,[28]
1973,David Gerrold,When HARLIE Was One,Ballantine Books,[28]
1973,Poul Anderson,There Will Be Time,Signet Books,[28]
1973,Robert Silverberg,The Book of Skulls,Charles Scribner's Sons,[28]
1973,Robert Silverberg,Dying Inside,Galaxy Science Fiction,[28]
1973,Clifford D. Simak,A Choice of Gods,Putnam Publishing Group,[28]
1974,Arthur C. Clarke*,Rendezvous with Rama,Galaxy Science Fiction,[29]
1974,Robert A. Heinlein,Time Enough for Love,Putnam Publishing Group,[29]
1974,Larry Niven,Protector,Ballantine Books,[29]
1974,Poul Anderson,The People of the Wind,Analog Science Fact & Fiction,[29]
1974,David Gerrold,The Man Who Folded Himself,Random House,[29]
1975,Ursula K. Le Guin*,The Dispossessed,Harper & Row,[30]
1975,Poul Anderson,Fire Time,Doubleday,[30]
1975,Philip K. Dick,"Flow My Tears, the Policeman Said",Doubleday,[30]
1975,Larry Niven,The Mote in God's Eye,Simon & Schuster,[30]
1975,Jerry Pournelle,The Mote in God's Eye,Simon & Schuster,[30]
1975,Christopher Priest,Inverted World,Galaxy Science Fiction,[30]
1976,Joe Haldeman*,The Forever War,St. Martin's Press,[31]
1976,Roger Zelazny,Doorways in the Sand,Analog Science Fact & Fiction,[31]
1976,Larry Niven,Inferno,Galaxy Science Fiction,[31]
1976,Jerry Pournelle,Inferno,Galaxy Science Fiction,[31]
1976,Alfred Bester,The Computer Connection (also known as The Indian Giver),Berkley Putnam,[31]
1976,Robert Silverberg,The Stochastic Man,Harper & Row,[31]
1977,Kate Wilhelm*,Where Late the Sweet Birds Sang,Harper & Row,[32]
1977,Joe Haldeman,Mindbridge,St. Martin's Press,[32]
1977,Frank Herbert,Children of Dune,Analog Science Fact & Fiction,[32]
1977,Frederik Pohl,Man Plus,The Magazine of Fantasy & Science Fiction,[32]
1977,Robert Silverberg,Shadrach in the Furnace,Analog Science Fact & Fiction,[32]
1978,Frederik Pohl*,Gateway,Galaxy Science Fiction,[33]
1978,Marion Zimmer Bradley,The Forbidden Tower,DAW Books,[33]
1978,Larry Niven,Lucifer's Hammer,Playboy Press,[33]
1978,Jerry Pournelle,Lucifer's Hammer,Playboy Press,[33]
1978,Gordon R. Dickson,Time Storm,St. Martin's Press,[33]
1978,George R. R. Martin,Dying of the Light,Analog Science Fact & Fiction,[33]
1979,Vonda N. McIntyre*,Dreamsnake,Houghton Mifflin,[34]
1979,Anne McCaffrey,The White Dragon,Del Rey Books,[34]
1979,C. J. Cherryh,The Faded Sun: Kesrith,Galaxy Science Fiction,[34]
1979,Tom Reamy,Blind Voices,Berkley Putnam,[34]
1980,Arthur C. Clarke*,The Fountains of Paradise,Victor Gollancz Ltd,[35]
1980,John Varley,Titan,Berkley Putnam,[35]
1980,Frederik Pohl,Jem,St. Martin's Press,[35]
1980,Patricia A. McKillip,Harpist in the Wind,Atheneum Books,[35]
1980,Thomas Disch,On Wings of Song,The Magazine of Fantasy & Science Fiction,[35]
1981,Joan D. Vinge*,The Snow Queen,Dial Press,[36]
1981,Robert Silverberg,Lord Valentine's Castle,The Magazine of Fantasy & Science Fiction,[36]
1981,Larry Niven,The Ringworld Engineers,Galileo Magazine of Science & Fiction,[36]
1981,Frederik Pohl,Beyond the Blue Event Horizon,Del Rey Books,[36]
1981,John Varley,Wizard,Berkley Putnam,[36]
1982,C. J. Cherryh*,Downbelow Station,DAW Books,[37]
1982,Gene Wolfe,The Claw of the Conciliator,Timescape Books,[37]
1982,Julian May,The Many-Colored Land,Houghton Mifflin,[37]
1982,Clifford D. Simak,Project Pope,Del Rey Books,[37]
1982,John Crowley,"Little, Big",Bantam Books,[37]
1983,Isaac Asimov*,Foundation's Edge,Doubleday,[38]
1983,C. J. Cherryh,The Pride of Chanur,DAW Books,[38]
1983,Arthur C. Clarke,2010: Odyssey Two,Del Rey Books,[38]
1983,Robert A. Heinlein,Friday,"Holt, Rinehart and Winston",[38]
1983,Donald Kingsbury,Courtship Rite,Timescape,[38]
1983,Gene Wolfe,The Sword of the Lictor,Timescape,[38]
1984,David Brin*,Startide Rising,Bantam Books,[39]
1984,R. A. MacAvoy,Tea with the Black Dragon,Bantam Books,[39]
1984,John Varley,Millennium,Berkley Books,[39]
1984,Anne McCaffrey,Moreta: Dragonlady of Pern,Del Rey Books,[39]
1984,Isaac Asimov,The Robots of Dawn,Doubleday,[39]
1985,William Gibson*,Neuromancer,Ace Books,[40]
1985,David R. Palmer,Emergence,Bantam Books,[40]
1985,Vernor Vinge,The Peace War,Bluejay Books,[40]
1985,Robert A. Heinlein,Job: A Comedy of Justice,Del Rey Books,[40]
1985,Larry Niven,The Integral Trees,Del Rey Books,[40]
1986,Orson Scott Card*,Ender's Game,Tor Books,[41]
1986,C. J. Cherryh,Cuckoo's Egg,DAW Books,[41]
1986,David Brin,The Postman,Bantam Spectra,[41]
1986,Larry Niven,Footfall,Del Rey Books,[41]
1986,Jerry Pournelle,Footfall,Del Rey Books,[41]
1986,Greg Bear,Blood Music,Arbor House,[41]
1987,Orson Scott Card*,Speaker for the Dead,Tor Books,[42]
1987,Bob Shaw,The Ragged Astronauts,Victor Gollancz Ltd,[42]
1987,William Gibson,Count Zero,Asimov's Science Fiction,[42]
1987,Vernor Vinge,Marooned in Realtime,Analog Science Fact & Fiction,[42]
1987,L. Ron Hubbard,Black Genesis,Bridge Publications,[42]
1988,David Brin*,The Uplift War,Bantam Spectra,[43]
1988,George Alec Effinger,When Gravity Fails,Arbor House,[43]
1988,Orson Scott Card,Seventh Son,Tor Books,[43]
1988,Greg Bear,The Forge of God,Tor Books,[43]
1988,Gene Wolfe,The Urth of the New Sun,Tor Books,[43]
1989,C. J. Cherryh*,Cyteen,Warner Books,[44]
1989,Orson Scott Card,Red Prophet,Tor Books,[44]
1989,Lois McMaster Bujold,Falling Free,Analog Science Fact & Fiction,[44]
1989,Bruce Sterling,Islands in the Net,Arbor House,[44]
1989,William Gibson,Mona Lisa Overdrive,Victor Gollancz Ltd,[44]
1990,Dan Simmons*,Hyperion,Doubleday,[45]
1990,George Alec Effinger,A Fire in the Sun,Doubleday,[45]
1990,Orson Scott Card,Prentice Alvin,Tor Books,[45]
1990,Poul Anderson,The Boat of a Million Years,Tor Books,[45]
1990,Sheri S. Tepper,Grass,Doubleday,[45]
1991,Lois McMaster Bujold*,The Vor Game,Baen Books,[46]
1991,David Brin,Earth,Bantam Spectra,[46]
1991,Dan Simmons,The Fall of Hyperion,Doubleday,[46]
1991,Michael P. Kube-McDowell,The Quiet Pools,Ace Books,[46]
1991,Greg Bear,Queen of Angels,Warner Questar,[46]
1992,Lois McMaster Bujold*,Barrayar,Analog Science Fact & Fiction,[47]
1992,Emma Bull,Bone Dance,Ace Books,[47]
1992,Anne McCaffrey,All the Weyrs of Pern,Del Rey Books,[47]
1992,Joan D. Vinge,The Summer Queen,Warner Questar,[47]
1992,Orson Scott Card,Xenocide,Tor Books,[47]
1992,Michael Swanwick,Stations of the Tide,Asimov's Science Fiction,[47]
1993,Vernor Vinge*,A Fire Upon the Deep,Tor Books,[48]
1993,Connie Willis*,Doomsday Book,Bantam Spectra,[48]
1993,Kim Stanley Robinson,Red Mars,HarperCollins,[48]
1993,Maureen F. McHugh,China Mountain Zhang,Tor Books,[48]
1993,John Varley,Steel Beach,Ace Books/Putnam Publishing Group,[48]
1994,Kim Stanley Robinson*,Green Mars,HarperCollins,[49]
1994,Greg Bear,Moving Mars,Tor Books,[49]
1994,Nancy Kress,Beggars in Spain,Morrow AvoNova,[49]
1994,David Brin,Glory Season,Bantam Spectra,[49]
1994,William Gibson,Virtual Light,Bantam Spectra,[49]
1995,Lois McMaster Bujold*,Mirror Dance,Baen Books,[50]
1995,John Barnes,Mother of Storms,Tor Books,[50]
1995,Nancy Kress,Beggars and Choosers,Tor Books,[50]
1995,Michael Bishop,Brittle Innings,Bantam Books,[50]
1995,James K. Morrow,Towing Jehovah,Harcourt Brace,[50]
1996,Neal Stephenson*,The Diamond Age,Bantam Spectra,[51]
1996,Stephen Baxter,The Time Ships,HarperPrism,[51]
1996,David Brin,Brightness Reef,Bantam Books,[51]
1996,Robert J. Sawyer,The Terminal Experiment (also known as Hobson's Choice),Analog Science Fiction and Fact,[51]
1996,Connie Willis,Remake,Bantam Spectra,[51]
1997,Kim Stanley Robinson*,Blue Mars,HarperCollins Voyager,[52]
1997,Lois McMaster Bujold,Memory,Baen Books,[52]
1997,Elizabeth Moon,Remnant Population,Baen Books,[52]
1997,Robert J. Sawyer,Starplex,Analog Science Fiction and Fact,[52]
1997,Bruce Sterling,Holy Fire,Bantam Spectra,[52]
1998,Joe Haldeman*,Forever Peace,Ace Books,[53]
1998,Walter Jon Williams,City on Fire,HarperPrism,[53]
1998,Dan Simmons,The Rise of Endymion,Bantam Spectra,[53]
1998,Robert J. Sawyer,Frameshift,Tor Books,[53]
1998,Michael Swanwick,Jack Faust,Avon Publications,[53]
