author,date,title
"Osborne, Duffield,",1900,The secret of the crater
"Ling, M. A. Moore Bentley",1901,A woman of Mars
"Wells, H. G.",1901,The first men in the moon
"Owen, Harle Oren.",1902,Welsh rarebit tales
"Stevenson, Robert Louis,",1903,Strange case of Dr. Jekyl
"Harris-Burland, J. B.",1904,The Princess Thora
"Wells, H. G.",1904,The food of the gods and 
"Harper, Vincent.",1905,The mortgage on the brain
"Hudson, W. H.",1906,A crystal age
"Ford, Douglas Morey.",1906,A time of terror
"Harding, Ellison.",1908,The woman who vowed
"Serviss, Garrett Putman,",1911,A Columbus of space
"Doyle, Arthur Conan,",1912,The lost world
"Beresford, J. D.",1913,Goslings
"London, Jack,",1915,The scarlet plague
"Burroughs, Edgar Rice,",1917,A princess of Mars
"Shanks, Edward,",1920,The people of the ruins
"Lindsay, David,",1920,Voyage To Arcturus
"Burroughs, Edgar Rice,",1921,The mucker
"Burroughs, Edgar Rice,",1922,The chessmen of Mars
"Hamilton, Cicely,",1922,Theodore savage
"Wells, H. G.",1923,Men like gods
"Burroughs, Edgar Rice,",1923,Pellucidar
"Burroughs, Edgar Rice,",1925,The moon men
"Cox, Erle,",1928,Out of the silence
"Wright, S. Fowler,",1928,The island of Captain Spa
"Burroughs, Edgar Rice,",1928,The master mind of Mars
"Burroughs, Edgar Rice,",1929,Tanar of Pellucidar
"Burroughs, Edgar Rice,",1929,The monster men
"Kline, Otis Adelbert,",1929,The planet of peril
"Shiel, M. P.",1929,The purple cloud
"Stapledon, Olaf,",1930,Last and first men
"Kline, Otis Adelbert,",1930,Maza of the moon
"Burroughs, Edgar Rice,",1930,Tarzan at the earth's cor
"Kline, Otis Adelbert,",1930,The prince of peril
"Schuyler, George S.",1931,Black no more
"Cummings, Ray,",1931,Brigands of the moon
"Merritt, Abraham,",1931,Face in the abyss
"Leinster, Murray,",1931,Murder madness
"Merritt, Abraham,",1931,The face in the abyss
"Smith, Thorne,",1931,The night life of the god
"Huxley, Aldous,",1932,Brave new world
"Stapledon, Olaf,",1932,Last men in London
"Lewis, Sinclair,",1935,It can't happen here
"Wells, H. G.",1937,Star-begotten
"Pseudoman, Akkad,",1937,Zero to eighty
"Burroughs, Edgar Rice",1938,Carson of Venus
"Smith, E. E.",1938,Galactic Patrol
"Lewis, C. S.",1938,Out of the Silent Planet
"Williamson, Jack",1938,The Legion of Time
"White, T. H.",1938,The Sword in the Stone
"Wright, S. Fowler,",1938,The adventure of Wyndham 
"Priestley, J. B.",1938,The doomsday men
"Burroughs, Edgar Rice,",1938,The lad and the lion
"Smith, E. E.",1940,Gray Lensman
"Boye, Karin",1940,Kallocain
"White, T. H.",1940,The Ill-Made Knight
"Williamson, Jack",1940,The Reign of Wizardry
"Merritt, Abraham,",1941,The metal monster
"Heinlein, Robert A.",1942,Beyond This Horizon
"Merritt, Abraham,",1942,Burn: witch: burn!
"Stapledon, Olaf,",1942,Darkness and the light
"Siodmak, Curt",1942,Donovan's Brain
"Wright, Austin Tappan",1942,Islandia
"Smith, E. E.",1942,Second Stage Lensmen
"Macardle, Dorothy",1942,The Uninvited
"Leiber, Fritz",1943,Conjure Wife
"Hesse, Hermann",1943,Das Glasperlenspiel (The Glass Bead Game)
"Moore, C. L., Kuttner, Henry",1943,Earth's Last Citadel
"Leiber, Fritz",1943,"Gather, Darkness!"
"Lewis, C. S.",1943,Perelandra
van Vogt A. E.,1943,The Weapon Makers
"Burroughs, Edgar Rice,",1944,Land of terror
"Leiber, Fritz",1945,Destiny Times Three
